,covid_hospital_admissions_per_100k,covid_cases_per_100k,doses_per_100k,case_rate_per_100k,death_rate_per_100k,clusters,cluster
292,0.0,77.49,215187.0,29613.0,408.0,2,dark purple
293,13.1,33.52,215187.0,29613.0,408.0,2,dark purple
294,1.3,26.51,215187.0,29613.0,408.0,2,dark purple
295,2.2,16.83,215187.0,29613.0,408.0,2,dark purple
296,1.3,25.83,215187.0,29613.0,408.0,2,dark purple
297,1.7,13.55,215187.0,29613.0,408.0,2,dark purple
298,1.7,19.29,215187.0,29613.0,408.0,2,dark purple
299,3.9,29.14,215187.0,29613.0,408.0,2,dark purple
300,2.0,5.85,215187.0,29613.0,408.0,2,dark purple
301,1.3,11.21,215187.0,29613.0,408.0,2,dark purple
302,1.6,15.05,215187.0,29613.0,408.0,2,dark purple
303,3.9,12.08,215187.0,29613.0,408.0,2,dark purple
304,4.2,22.01,215187.0,29613.0,408.0,2,dark purple
305,4.9,12.08,215187.0,29613.0,408.0,2,dark purple
306,3.4,27.93,215187.0,29613.0,408.0,2,dark purple
307,3.4,128.62,215187.0,29613.0,408.0,2,dark purple
308,1.1,24.14,215187.0,29613.0,408.0,2,dark purple
309,0.0,21.26,215187.0,29613.0,408.0,2,dark purple
310,0.0,29.73,215187.0,29613.0,408.0,2,dark purple
311,1.6,68.31,215187.0,29613.0,408.0,2,dark purple
312,3.4,17.32,215187.0,29613.0,408.0,2,dark purple
313,1.7,18.38,215187.0,29613.0,408.0,2,dark purple
314,1.3,9.64,215187.0,29613.0,408.0,2,dark purple
315,4.9,0.0,215187.0,29613.0,408.0,2,dark purple
316,2.6,35.8,215187.0,29613.0,408.0,2,dark purple
317,2.7,34.04,215187.0,29613.0,408.0,2,dark purple
318,3.6,32.41,215187.0,29613.0,408.0,2,dark purple
319,6.9,40.19,215187.0,29613.0,408.0,2,dark purple
320,6.9,43.23,215187.0,29613.0,408.0,2,dark purple
321,2.6,0.0,215187.0,29613.0,408.0,2,dark purple
322,0.0,20.57,215187.0,29613.0,408.0,2,dark purple
323,5.0,158.44,215187.0,29613.0,408.0,2,dark purple
324,6.5,9.02,215187.0,29613.0,408.0,2,dark purple
325,2.4,15.27,215187.0,29613.0,408.0,2,dark purple
326,6.9,222.83,215187.0,29613.0,408.0,2,dark purple
327,2.9,31.77,215187.0,29613.0,408.0,2,dark purple
328,2.7,80.43,215187.0,29613.0,408.0,2,dark purple
329,17.3,37.78,215187.0,29613.0,408.0,2,dark purple
330,5.0,26.83,215187.0,29613.0,408.0,2,dark purple
331,3.6,19.11,215187.0,29613.0,408.0,2,dark purple
